Gouvernorat,Délégation,Localité,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Nabeul,Kelibia,Dar Allouche,920000,1150 m²,,eau,,titre foncier,1150.0,800.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Hammam El Ghezaz,Tamazrat,1000000,2000 m²,,,,titre foncier,2000.0,500.0
Nabeul,Hammam El Ghezaz,Ezzahra,315000,10000 m²,,,,titre foncier,10000.0,31.5
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,,,,titre foncier,913.0,800.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,,,,titre foncier,2350.0,600.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Soliman,Soliman,750000,7 ha,,sondage,verger,,70000.0,10.714285714285714
Nabeul,Hammamet,Hammamet,125000,10000m,,"eau, électricité",,,10000.0,12.5
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,front de mer,,,titre foncier,2100.0,600.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,vue sur mer,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1000000,2000 m²,vue sur mer,,,titre foncier,2000.0,500.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Kelibia,Dar Allouche,920000,1150 m²,,,,titre foncier,1150.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,,,,titre foncier,2350.0,600.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,,,,titre foncier,913.0,800.0
Nabeul,Kelibia,Dar Allouche,400000,2 ha,,,,,20000.0,20.0
Nabeul,Hammamet,Hammamet,370000,8073 m²,vue sur mer,"eau, électricité",,,8073.0,45.83178496221974
Nabeul,Hammam El Ghezaz,Ezzahra,1000000,50000 m²,,,,,50000.0,20.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,520000,4000 m²,,,,,4000.0,130.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,vue sur mer,,,titre foncier,913.0,800.0
Nabeul,Menzel Bouzelfa,Menzel Bouzelfa,350000,650 m²,,,jardin,"villa, titre foncier",650.0,538.4615384615385
Nabeul,Kelibia,Kerkouane,750000,30000 m²,bord de mer,,,titre foncier,30000.0,25.0
Nabeul,Hammam El Ghezaz,Ezzahra,200000,5000 m²,,,,titre foncier,5000.0,40.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,468000,5850 m²,,,,,5850.0,80.0
Nabeul,Beni Khiar,Beni Khiar,650000,4000 m²,,,,,4000.0,162.5
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Nabeul,Henchir El Haouaria,175000,5000 m²,,,,,5000.0,35.0
Nabeul,Hammamet,Hammamet,411355,1127m,,,,,1127.0,365.0
Nabeul,Hammam El Ghezaz,Ezzahra,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,,,,titre foncier,2350.0,600.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Kelibia,Kerkouane,1980000,3300 m²,,,,titre foncier,3300.0,600.0
Nabeul,Kelibia,Dar Allouche,792000,990 m²,vue sur mer,,,titre foncier,990.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1500000,3000 m²,,,,titre foncier,3000.0,500.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,front de mer,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,1000000,5 ha,,,,titre foncier,50000.0,20.0
Nabeul,Hammam El Ghezaz,Tamazrat,1000000,2000 m²,,,,titre foncier,2000.0,500.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Beni Khalled,Beni Khalled,240000,17000 m²,,,,,17000.0,14.117647058823527
Nabeul,Hammam El Ghezaz,Tamazrat,1690000,2500 m²,vue sur mer,,,titre foncier,2500.0,676.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,vue sur mer,,,titre foncier,913.0,800.0
Nabeul,Hammamet,Sidi Hmed,305250,4070 m²,,,,,4070.0,75.0
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,,,,titre foncier,2100.0,600.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1000000,2000 m²,front de mer,,,titre foncier,2000.0,500.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Kelibia,Dar Allouche,920000,1150 m²,vue sur mer,,,titre foncier,1150.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Hammamet,Hammamet,125000,10000m,,"eau, électricité",,,10000.0,12.5
Nabeul,Hammamet,Hammamet,125000,1 ha,,"eau, électricité",,,10000.0,12.5
Nabeul,Hammamet,Bir Bouregba,520000,19200 m²,,,oliviers,,19200.0,27.08333333333333
Nabeul,Beni Khiar,Beni Khiar,650000,4000 m²,,,,,4000.0,162.5
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,200000,5000 m²,,,,titre foncier,5000.0,40.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Hammam El Ghezaz,Tamazrat,1000000,2000 m²,vue sur mer,,,titre foncier,2000.0,500.0
Nabeul,Soliman,Soliman,495000,2 ha,,"électricité, sondage","culture, oliviers",titre foncier,20000.0,24.75
Nabeul,Kelibia,Dar Allouche,730400,913 m²,vue sur mer,,,titre foncier,913.0,800.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,750000,3 ha,,,,titre foncier,30000.0,25.0
Nabeul,Hammamet,Hammamet,90000,2800m,,,oliviers,titre foncier,2800.0,32.142857142857146
Nabeul,Hammam El Ghezaz,Tamazrat,1500000,3000 m²,vue sur mer,,,titre foncier,3000.0,500.0
Nabeul,Hammam El Ghezaz,Tamazrat,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammamet,Sidi Hmed,480000,3000m,,,oliviers,,3000.0,160.0
Nabeul,Hammam El Ghezaz,Ezzahra,90000,1000 m,,,,titre foncier,1000.0,90.0
Nabeul,Hammam El Ghezaz,Tamazrat,1500000,3000 m²,,,,titre foncier,3000.0,500.0
Nabeul,Hammam El Ghezaz,Ezzahra,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,,,,titre foncier,2100.0,600.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Dar Allouche,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Kelibia,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,,,,titre foncier,2350.0,600.0
Nabeul,El Haouaria,El Haouaria,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,,,,titre foncier,2100.0,600.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1500000,3000 m²,,,,titre foncier,3000.0,500.0
Nabeul,Hammamet,Cite El Kharroub,1000000,5 ha,,,oliviers,,50000.0,20.0
Nabeul,Kelibia,Dar Allouche,1089000,3 ha,,"eau, sondage",culture,maison,30000.0,36.3
Nabeul,Beni Khiar,El Halfa,1200000,6 ha,,eau,,,60000.0,20.0
Nabeul,Kelibia,Dar Allouche,920000,1150 m²,vue sur mer,,,titre foncier,1150.0,800.0
Nabeul,Kelibia,Kelibia,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,vue sur mer,,,titre foncier,2350.0,600.0
Nabeul,Beni Khiar,Beni Khiar,330000,2100 m²,,,arbres,,2100.0,157.14285714285714
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammamet,Hammamet,1050000,3000 m²,,,,,3000.0,350.0
Nabeul,Kelibia,Kelibia,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Kelibia,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Korba,Tazarka,800000,12600 m²,,,,,12600.0,63.49206349206349
Nabeul,El Haouaria,Ferjoun,160000,500 m²,,,,,500.0,320.0
Nabeul,Kelibia,Kerkouane,1980000,3300 m²,front de mer,,,titre foncier,3300.0,600.0
Nabeul,Kelibia,Kelibia,220000,17000m,,puit,,puit,17000.0,12.941176470588236
Nabeul,Hammam El Ghezaz,Tamazrat,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Dar Allouche,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,1500000,3000 m²,vue sur mer,,,titre foncier,3000.0,500.0
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,,,,titre foncier,2100.0,600.0
Nabeul,Kelibia,Kerkouane,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Kelibia,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,63000,1000 m²,,eau,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,1750000,3500 m²,,,,titre foncier,3500.0,500.0
Nabeul,Kelibia,Dar Allouche,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Kelibia,Dar Allouche,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,,,,titre foncier,2350.0,600.0
Nabeul,Korba,Tazarka,180000,2000 m²,,,,titre foncier,2000.0,90.0
Nabeul,Kelibia,Kerkouane,1980000,3300 m²,,,,titre foncier,3300.0,600.0
Nabeul,Kelibia,Kelibia,792000,990 m²,,,,titre foncier,990.0,800.0
Nabeul,Kelibia,Kerkouane,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Dar Allouche,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,90000,1000 m²,,,,titre foncier,1000.0,90.0
Nabeul,Hammam El Ghezaz,Ezzahra,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Ezzahra,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,,,,titre foncier,2350.0,600.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,,,,titre foncier,913.0,800.0
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,,,,titre foncier,2100.0,600.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1000000,2000 m²,,,,titre foncier,2000.0,500.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Kelibia,Dar Allouche,920000,1150 m²,,,,titre foncier,1150.0,800.0
Nabeul,Kelibia,Dar Allouche,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,,,,titre foncier,913.0,800.0
Nabeul,El Haouaria,Zaouiet El Mgaies,14000,800m,,,,,800.0,17.5
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,180000,10000 m²,,,,titre foncier,10000.0,18.0
Nabeul,Kelibia,Kelibia,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,vue sur mer,,,titre foncier,913.0,800.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Bou Argoub,Bousehem,600000,4 ha,,,,,40000.0,15.0
Nabeul,Beni Khalled,Bir Drassen,1750000,14 ha,,,oliviers,,140000.0,12.5
Nabeul,Kelibia,Dar Allouche,672000,840 m²,,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Ezzahra,180000,10000 m²,,,,titre foncier,10000.0,18.0
