Gouvernorat,Délégation,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Kebili,Kebili Nord,825270,3281 m²,,"sondage, eau",,"clôture, titre foncier",3281.0,251.53
Kebili,Kebili Nord,3614556,10232 m²,près du centre,"puit, électricité",Palmiers,"clôture, titre foncier",10232.0,353.26
Kebili,Kebili Nord,1704144,4683 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",4683.0,363.9
Kebili,Kebili Nord,862292,6301 m²,,,,titre foncier,6301.0,136.85
Kebili,Kebili Nord,1159560,6000 m²,,"sondage, eau",,titre foncier,6000.0,193.26
Kebili,Kebili Nord,1821892,5281 m²,,"sondage, électricité",Olives,"clôture, titre foncier",5281.0,344.99
Kebili,Kebili Nord,4915323,18087 m²,,"puit, eau",Olives,"clôture, titre foncier",18087.0,271.76
Kebili,Kebili Nord,2489769,11629 m²,,"sondage, eau",,"clôture, titre foncier",11629.0,214.1
Kebili,Kebili Nord,3383713,12599 m²,,"puit, eau",Olives,"clôture, titre foncier",12599.0,268.57
Kebili,Kebili Nord,1720926,5683 m²,,"puit, électricité",Olives,"clôture, titre foncier",5683.0,302.82
Kebili,Kebili Nord,2598439,16826 m²,,"puit, eau",Olives,titre foncier,16826.0,154.43
Kebili,Kebili Nord,3267480,8854 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",8854.0,369.04
Kebili,Kebili Nord,3468815,10257 m²,,"puit, électricité",Olives,"clôture, titre foncier",10257.0,338.19
Kebili,Kebili Nord,4815908,17931 m²,,"puit, eau",Olives,"clôture, titre foncier",17931.0,268.58
Kebili,Kebili Nord,670015,2961 m²,,"sondage, eau",,"clôture, titre foncier",2961.0,226.28
Kebili,Kebili Nord,5583060,18990 m²,,"puit, eau",,"clôture, titre foncier",18990.0,294.0
Kebili,Kebili Nord,2719478,7276 m²,près du centre,"puit, électricité",Palmiers,"clôture, titre foncier",7276.0,373.76
Kebili,Kebili Nord,2009455,5624 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",5624.0,357.3
Kebili,Kebili Nord,6121692,12651 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",12651.0,483.89
Kebili,Kebili Nord,1625398,18439 m²,,eau,,,18439.0,88.15
Kebili,Kebili Nord,709968,11200 m²,,eau,,,11200.0,63.39
Kebili,Kebili Nord,739705,1528 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",1528.0,484.1
Kebili,Kebili Nord,5171935,17554 m²,,"sondage, eau",,"clôture, titre foncier",17554.0,294.63
Kebili,Kebili Nord,3053480,15111 m²,,"sondage, eau",Olives,"clôture, titre foncier",15111.0,202.07
Kebili,Kebili Nord,4586037,16819 m²,,"sondage, eau",,"clôture, titre foncier",16819.0,272.67
Kebili,Kebili Nord,4831165,15485 m²,,"sondage, électricité",Olives,"clôture, titre foncier",15485.0,311.99
Kebili,Kebili Nord,6146292,14097 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",14097.0,436.0
Kebili,Kebili Nord,1702540,17453 m²,,eau,,,17453.0,97.55
Kebili,Kebili Nord,5766535,18030 m²,,"puit, électricité",Olives,"clôture, titre foncier",18030.0,319.83
Kebili,Kebili Nord,1901566,7014 m²,,"puit, eau",,"clôture, titre foncier",7014.0,271.11
Kebili,Kebili Nord,5969752,16911 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",16911.0,353.01
Kebili,Kebili Nord,2330593,5849 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5849.0,398.46
Kebili,Kebili Nord,2592572,7116 m²,près du centre,"sondage, électricité",Palmiers,"clôture, titre foncier",7116.0,364.33
Kebili,Kebili Nord,4491129,16193 m²,,"sondage, eau",Olives,"clôture, titre foncier",16193.0,277.35
Kebili,Kebili Nord,6407181,15228 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",15228.0,420.75
Kebili,Kebili Nord,747891,6449 m²,,,,titre foncier,6449.0,115.97
Kebili,Kebili Nord,793256,6970 m²,,,,titre foncier,6970.0,113.81
Kebili,Kebili Nord,1159740,7650 m²,,"sondage, eau",,titre foncier,7650.0,151.6
Kebili,Kebili Nord,2060482,8565 m²,,"puit, eau",Olives,"clôture, titre foncier",8565.0,240.57
Kebili,Kebili Nord,3123443,8492 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",8492.0,367.81
Kebili,Kebili Nord,205888,1509 m²,,,,titre foncier,1509.0,136.44
Kebili,Kebili Nord,1352523,5691 m²,,"sondage, eau",,"clôture, titre foncier",5691.0,237.66
Kebili,Kebili Nord,374784,5807 m²,,eau,,,5807.0,64.54
Kebili,Kebili Nord,2676975,7296 m²,près du centre,"sondage, électricité",Palmiers,"clôture, titre foncier",7296.0,366.91
Kebili,Kebili Nord,5736097,12479 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",12479.0,459.66
Kebili,Kebili Nord,1070058,4092 m²,,"sondage, eau",,"clôture, titre foncier",4092.0,261.5
Kebili,Kebili Nord,2986928,8548 m²,,"puit, électricité",Olives,"clôture, titre foncier",8548.0,349.43
Kebili,Kebili Nord,6972422,15167 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",15167.0,459.71
Kebili,Kebili Nord,2409896,4945 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",4945.0,487.34
Kebili,Kebili Nord,5374480,11276 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",11276.0,476.63
Kebili,Kebili Nord,4675466,11919 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",11919.0,392.27
Kebili,Kebili Nord,1887725,5097 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5097.0,370.36
Kebili,Kebili Nord,2492822,5509 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",5509.0,452.5
Kebili,Kebili Nord,3941343,8458 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",8458.0,465.99
Kebili,Kebili Nord,5520882,14814 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",14814.0,372.68
Kebili,Kebili Nord,3942501,11695 m²,,"puit, électricité",Palmiers,"clôture, titre foncier",11695.0,337.11
Kebili,Kebili Nord,4468036,19186 m²,,"puit, eau",Olives,"clôture, titre foncier",19186.0,232.88
Kebili,Kebili Nord,722775,11166 m²,,eau,,,11166.0,64.73
Kebili,Kebili Nord,4301146,16635 m²,,"sondage, eau",Olives,"clôture, titre foncier",16635.0,258.56
Kebili,Kebili Nord,3878657,8269 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",8269.0,469.06
Kebili,Kebili Nord,5321609,15486 m²,,"sondage, électricité",Palmiers,"clôture, titre foncier",15486.0,343.64
Kebili,Kebili Nord,888721,3602 m²,,"sondage, eau",Olives,"clôture, titre foncier",3602.0,246.73
Kebili,Kebili Nord,7830386,18339 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",18339.0,426.98
Kebili,Kebili Nord,4130624,9320 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",9320.0,443.2
Kebili,Kebili Nord,1142125,2461 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2461.0,464.09
Kebili,Kebili Nord,4460108,10239 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10239.0,435.6
Kebili,Kebili Nord,2933125,13607 m²,,"puit, eau",,"clôture, titre foncier",13607.0,215.56
Kebili,Kebili Nord,2367590,5958 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5958.0,397.38
Kebili,Kebili Nord,3401000,10533 m²,,"puit, électricité",Olives,"clôture, titre foncier",10533.0,322.89
Kebili,Kebili Nord,605227,1996 m²,,"sondage, électricité",Olives,"clôture, titre foncier",1996.0,303.22
Kebili,Kebili Nord,2489711,9935 m²,,"puit, eau",Olives,"clôture, titre foncier",9935.0,250.6
Kebili,Kebili Nord,1020557,2543 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2543.0,401.32
Kebili,Kebili Nord,8473456,17718 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",17718.0,478.24
Kebili,Kebili Nord,2826972,18448 m²,,"puit, eau",Olives,titre foncier,18448.0,153.24
Kebili,Kebili Nord,5117508,15391 m²,,"puit, électricité",Olives,"clôture, titre foncier",15391.0,332.5
Kebili,Kebili Nord,5140743,10955 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",10955.0,469.26
Kebili,Kebili Nord,5152440,16965 m²,,"sondage, électricité",Olives,"clôture, titre foncier",16965.0,303.71
Kebili,Kebili Nord,5258063,10947 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",10947.0,480.32
Kebili,Kebili Nord,4829324,17215 m²,,"sondage, eau",,"clôture, titre foncier",17215.0,280.53
Kebili,Kebili Nord,4242870,10226 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",10226.0,414.91
Kebili,Kebili Nord,4555666,15076 m²,,"puit, électricité",Palmiers,"clôture, titre foncier",15076.0,302.18
Kebili,Kebili Nord,922335,2089 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",2089.0,441.52
Kebili,Kebili Nord,3992559,19474 m²,,"puit, eau",Olives,"clôture, titre foncier",19474.0,205.02
Kebili,Kebili Nord,3068222,9303 m²,,"sondage, électricité",Olives,"clôture, titre foncier",9303.0,329.81
Kebili,Kebili Nord,1079089,15790 m²,,eau,,,15790.0,68.34
Kebili,Kebili Nord,3071098,7714 m²,près du centre,"puit, électricité",Palmiers,"clôture, titre foncier",7714.0,398.12
Kebili,Kebili Nord,2801700,16389 m²,,"sondage, eau",,titre foncier,16389.0,170.95
Kebili,Kebili Nord,1204763,15823 m²,,eau,,,15823.0,76.14
Kebili,Kebili Nord,2384418,4997 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",4997.0,477.17
Kebili,Kebili Nord,2779872,10828 m²,,"puit, eau",,"clôture, titre foncier",10828.0,256.73
Kebili,Kebili Nord,1925019,6845 m²,,"puit, eau",,"clôture, titre foncier",6845.0,281.23
Kebili,Kebili Nord,3535997,15174 m²,,"sondage, eau",Olives,"clôture, titre foncier",15174.0,233.03
Kebili,Kebili Nord,1349810,6152 m²,,"puit, eau",,"clôture, titre foncier",6152.0,219.41
Kebili,Kebili Nord,2573390,11676 m²,,"puit, eau",,"clôture, titre foncier",11676.0,220.4
Kebili,Kebili Nord,649726,1646 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",1646.0,394.73
Kebili,Kebili Nord,1058996,2716 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",2716.0,389.91
Kebili,Kebili Nord,2214456,5949 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5949.0,372.24
Kebili,Kebili Nord,3838608,18400 m²,,"sondage, eau",,"clôture, titre foncier",18400.0,208.62
Kebili,Kebili Nord,1833818,4923 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",4923.0,372.5
Kebili,Kebili Nord,1583076,18410 m²,,eau,,,18410.0,85.99
Kebili,Kebili Nord,3888848,15478 m²,,"sondage, eau",Olives,"clôture, titre foncier",15478.0,251.25
Kebili,Kebili Nord,4629871,14106 m²,,"puit, électricité",Olives,"clôture, titre foncier",14106.0,328.22
Kebili,Kebili Nord,875355,3048 m²,,"sondage, eau",Olives,"clôture, titre foncier",3048.0,287.19
Kebili,Kebili Nord,6210222,13349 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",13349.0,465.22
Kebili,Kebili Nord,3608828,14327 m²,,"sondage, eau",Olives,"clôture, titre foncier",14327.0,251.89
Kebili,Kebili Nord,564969,3562 m²,,"sondage, eau",Olives,titre foncier,3562.0,158.61
Kebili,Kebili Nord,4175956,10140 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",10140.0,411.83
Kebili,Kebili Nord,4439611,9314 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",9314.0,476.66
Kebili,Kebili Nord,515415,7315 m²,,eau,,,7315.0,70.46
Kebili,Kebili Nord,5061848,16515 m²,,"sondage, électricité",Palmiers,"clôture, titre foncier",16515.0,306.5
Kebili,Kebili Nord,882767,4371 m²,,"puit, eau",Olives,"clôture, titre foncier",4371.0,201.96
Kebili,Kebili Nord,3454472,16453 m²,,"puit, eau",Olives,"clôture, titre foncier",16453.0,209.96
Kebili,Kebili Nord,3430500,13776 m²,,"sondage, eau",,"clôture, titre foncier",13776.0,249.02
Kebili,Kebili Nord,4111814,19083 m²,,"puit, eau",,"clôture, titre foncier",19083.0,215.47
Kebili,Kebili Nord,3622454,8258 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",8258.0,438.66
Kebili,Kebili Nord,830134,19154 m²,,eau,,,19154.0,43.34
Kebili,Kebili Nord,7462292,19370 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",19370.0,385.25
Kebili,Kebili Nord,2449255,12220 m²,,"puit, eau",,"clôture, titre foncier",12220.0,200.43
Kebili,Kebili Nord,7639249,17518 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",17518.0,436.08
Kebili,Kebili Nord,1035940,5217 m²,,"puit, eau",,titre foncier,5217.0,198.57
Kebili,Kebili Nord,1620853,5689 m²,,"sondage, eau",Olives,"clôture, titre foncier",5689.0,284.91
Kebili,Kebili Nord,861166,3974 m²,,"puit, eau",,"clôture, titre foncier",3974.0,216.7
Kebili,Kebili Nord,2576259,7694 m²,,"sondage, électricité",Palmiers,"clôture, titre foncier",7694.0,334.84
Kebili,Kebili Nord,8535613,19623 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",19623.0,434.98
Kebili,Kebili Nord,622138,5040 m²,,,,titre foncier,5040.0,123.44
Kebili,Kebili Nord,1877598,10797 m²,,"puit, eau",Olives,titre foncier,10797.0,173.9
Kebili,Kebili Nord,5953446,14096 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",14096.0,422.35
Kebili,Kebili Nord,2460106,15886 m²,,"puit, eau",Olives,titre foncier,15886.0,154.86
Kebili,Kebili Nord,2493462,7318 m²,,"puit, électricité",Palmiers,"clôture, titre foncier",7318.0,340.73
Kebili,Kebili Nord,641075,8662 m²,,eau,,,8662.0,74.01
Kebili,Kebili Nord,1974540,9537 m²,,"sondage, eau",Olives,"clôture, titre foncier",9537.0,207.04
Kebili,Kebili Nord,3877192,8192 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",8192.0,473.29
Kebili,Kebili Nord,1172452,7305 m²,,"sondage, eau",Olives,titre foncier,7305.0,160.5
Kebili,Kebili Nord,1106479,5676 m²,,"puit, eau",Olives,titre foncier,5676.0,194.94
Kebili,Kebili Nord,8298493,19980 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",19980.0,415.34
Kebili,Kebili Nord,7687483,19782 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",19782.0,388.61
Kebili,Kebili Nord,5913282,12970 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",12970.0,455.92
Kebili,Kebili Nord,3326050,7546 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",7546.0,440.77
Kebili,Kebili Nord,3148490,9738 m²,,"puit, électricité",Olives,"clôture, titre foncier",9738.0,323.32
Kebili,Kebili Nord,3453553,17489 m²,,"sondage, eau",Olives,titre foncier,17489.0,197.47
Kebili,Kebili Nord,3626117,15911 m²,,"sondage, eau",Olives,"clôture, titre foncier",15911.0,227.9
Kebili,Kebili Nord,2144564,9756 m²,,"puit, eau",,"clôture, titre foncier",9756.0,219.82
Kebili,Kebili Nord,3435853,12925 m²,,"puit, eau",Olives,"clôture, titre foncier",12925.0,265.83
Kebili,Kebili Nord,1996060,11281 m²,,"sondage, eau",,titre foncier,11281.0,176.94
Kebili,Kebili Nord,1052017,2808 m²,près du centre,"sondage, électricité",Palmiers,"clôture, titre foncier",2808.0,374.65
Kebili,Kebili Nord,1129789,5292 m²,,"puit, eau",,"clôture, titre foncier",5292.0,213.49
Kebili,Kebili Nord,854474,13260 m²,,eau,,,13260.0,64.44
Kebili,Kebili Nord,3655210,8408 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",8408.0,434.73
Kebili,Kebili Nord,1364448,4939 m²,,"puit, eau",Olives,"clôture, titre foncier",4939.0,276.26
Kebili,Kebili Nord,5595539,11433 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",11433.0,489.42
Kebili,Kebili Nord,1186561,6889 m²,,"puit, eau",Olives,titre foncier,6889.0,172.24
Kebili,Kebili Nord,3934673,11920 m²,,"sondage, électricité",Olives,"clôture, titre foncier",11920.0,330.09
Kebili,Kebili Nord,1163732,17729 m²,,eau,,,17729.0,65.64
Kebili,Kebili Nord,521332,1832 m²,,"puit, eau",Olives,"clôture, titre foncier",1832.0,284.57
Kebili,Kebili Nord,2425084,6800 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",6800.0,356.63
Kebili,Kebili Nord,6493834,17220 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",17220.0,377.11
Kebili,Kebili Nord,1579662,4386 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",4386.0,360.16
Kebili,Kebili Nord,2584848,15222 m²,,"puit, eau",,titre foncier,15222.0,169.81
Kebili,Kebili Nord,4226160,10199 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10199.0,414.37
Kebili,Kebili Nord,1292136,2781 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",2781.0,464.63
Kebili,Kebili Nord,3342557,10560 m²,,"puit, électricité",Olives,"clôture, titre foncier",10560.0,316.53
Kebili,Kebili Nord,4768138,12172 m²,près du centre,"sondage, électricité",Palmiers,"clôture, titre foncier",12172.0,391.73
Kebili,Kebili Nord,5433652,15294 m²,près du centre,"sondage, électricité",Palmiers,"clôture, titre foncier",15294.0,355.28
Kebili,Kebili Nord,7298212,16526 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",16526.0,441.62
Kebili,Kebili Nord,1957314,15517 m²,,,,titre foncier,15517.0,126.14
Kebili,Kebili Nord,7793081,18701 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",18701.0,416.72
Kebili,Kebili Nord,255166,1603 m²,,"sondage, eau",Olives,titre foncier,1603.0,159.18
Kebili,Kebili Nord,3505390,12166 m²,,"sondage, eau",Olives,"clôture, titre foncier",12166.0,288.13
Kebili,Kebili Nord,702927,2677 m²,,"puit, eau",,"clôture, titre foncier",2677.0,262.58
Kebili,Kebili Nord,2769198,6541 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",6541.0,423.36
Kebili,Kebili Nord,2358220,15032 m²,,"puit, eau",,titre foncier,15032.0,156.88
Kebili,Kebili Nord,5665731,13061 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",13061.0,433.79
Kebili,Kebili Nord,7746843,17147 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",17147.0,451.79
Kebili,Kebili Nord,1564173,7468 m²,,"sondage, eau",Olives,"clôture, titre foncier",7468.0,209.45
Kebili,Kebili Nord,2209170,5446 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",5446.0,405.65
Kebili,Kebili Nord,5179452,14232 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",14232.0,363.93
Kebili,Kebili Nord,1774062,4589 m²,près du centre,"puit, électricité",Palmiers,"clôture, titre foncier",4589.0,386.59
Kebili,Kebili Nord,2309796,9442 m²,,"puit, eau",,"clôture, titre foncier",9442.0,244.63
Kebili,Kebili Nord,1019191,2758 m²,près du centre,"sondage, électricité",Palmiers,"clôture, titre foncier",2758.0,369.54
Kebili,Kebili Nord,3814004,15001 m²,,"sondage, eau",,"clôture, titre foncier",15001.0,254.25
Kebili,Kebili Nord,3699774,15731 m²,,"puit, eau",,"clôture, titre foncier",15731.0,235.19
Kebili,Kebili Nord,3156635,16237 m²,,"puit, eau",,titre foncier,16237.0,194.41
Kebili,Kebili Nord,3609339,10833 m²,,"puit, électricité",Olives,"clôture, titre foncier",10833.0,333.18
Kebili,Kebili Nord,1952725,7246 m²,,"sondage, eau",Olives,"clôture, titre foncier",7246.0,269.49
Kebili,Kebili Nord,1291959,6620 m²,,"puit, eau",Olives,titre foncier,6620.0,195.16
Kebili,Kebili Nord,1361514,6637 m²,,"sondage, eau",Olives,"clôture, titre foncier",6637.0,205.14
Kebili,Kebili Nord,1619275,6329 m²,,"puit, eau",Olives,"clôture, titre foncier",6329.0,255.85
Kebili,Kebili Nord,6834881,13993 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",13993.0,488.45
Kebili,Kebili Nord,1157541,7349 m²,,"sondage, eau",,titre foncier,7349.0,157.51
Kebili,Kebili Nord,9173362,19534 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",19534.0,469.61
Kebili,Kebili Nord,6139726,16161 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",16161.0,379.91
Kebili,Kebili Nord,696355,1803 m²,près du centre,"puit, électricité",Palmiers,"clôture, titre foncier",1803.0,386.22
Kebili,Kebili Nord,3666031,7952 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",7952.0,461.02
Kebili,Kebili Nord,619048,6618 m²,,eau,,,6618.0,93.54
Kebili,Kebili Nord,636683,11952 m²,,eau,,,11952.0,53.27
Kebili,Kebili Nord,4259861,9880 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",9880.0,431.16
Kebili,Kebili Nord,6123824,12304 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",12304.0,497.71
Kebili,Kebili Nord,1036164,5465 m²,,"sondage, eau",,titre foncier,5465.0,189.6
Kebili,Kebili Nord,3523840,11856 m²,,"puit, eau",Olives,"clôture, titre foncier",11856.0,297.22
Kebili,Kebili Nord,1155832,2432 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",2432.0,475.26
Kebili,Kebili Nord,4522637,10707 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10707.0,422.4
Kebili,Kebili Nord,743342,5514 m²,,,,titre foncier,5514.0,134.81
Kebili,Kebili Nord,5492841,18184 m²,,"puit, électricité",Palmiers,"clôture, titre foncier",18184.0,302.07
Kebili,Kebili Nord,5077676,10229 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",10229.0,496.4
Kebili,Kebili Nord,4054724,8424 m²,près du centre,"sondage, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",8424.0,481.33
Kebili,Kebili Nord,2625247,5491 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",5491.0,478.1
Kebili,Kebili Nord,1916936,4122 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",4122.0,465.05
Kebili,Kebili Nord,3022889,17348 m²,,"sondage, eau",Olives,titre foncier,17348.0,174.25
Kebili,Kebili Nord,2726537,9304 m²,,"sondage, eau",,"clôture, titre foncier",9304.0,293.05
Kebili,Kebili Nord,2043710,7598 m²,,"sondage, eau",,"clôture, titre foncier",7598.0,268.98
Kebili,Kebili Nord,1089168,8660 m²,,,,titre foncier,8660.0,125.77
Kebili,Kebili Nord,1829432,7181 m²,,"sondage, eau",Olives,"clôture, titre foncier",7181.0,254.76
Kebili,Kebili Nord,1584609,3215 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",3215.0,492.88
Kebili,Kebili Nord,7229323,15606 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",15606.0,463.24
Kebili,Kebili Nord,505019,3319 m²,,"sondage, eau",,titre foncier,3319.0,152.16
Kebili,Kebili Nord,4953078,19169 m²,,"puit, eau",,"clôture, titre foncier",19169.0,258.39
Kebili,Kebili Nord,3264795,18283 m²,,"sondage, eau",Olives,titre foncier,18283.0,178.57
Kebili,Kebili Nord,8182374,19132 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",19132.0,427.68
Kebili,Kebili Nord,3096483,16305 m²,,"sondage, eau",Olives,titre foncier,16305.0,189.91
Kebili,Kebili Nord,2125388,5773 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",5773.0,368.16
Kebili,Kebili Nord,4918754,16970 m²,,"puit, eau",Olives,"clôture, titre foncier",16970.0,289.85
Kebili,Kebili Nord,5467509,15655 m²,,"sondage, électricité",Palmiers,"clôture, titre foncier",15655.0,349.25
Kebili,Kebili Nord,1850581,5661 m²,,"sondage, électricité",Palmiers,"clôture, titre foncier",5661.0,326.9
Kebili,Kebili Nord,815117,15529 m²,,eau,,,15529.0,52.49
Kebili,Kebili Nord,6313477,16147 m²,près du centre,"sondage, électricité",Olives,"clôture, titre foncier",16147.0,391.0
Kebili,Kebili Nord,4524400,15429 m²,,"puit, eau",,"clôture, titre foncier",15429.0,293.24
Kebili,Kebili Nord,2747313,6542 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",6542.0,419.95
Kebili,Kebili Nord,3011060,10178 m²,,"puit, eau",Olives,"clôture, titre foncier",10178.0,295.84
Kebili,Kebili Nord,2023202,4254 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",4254.0,475.6
Kebili,Kebili Nord,1153054,4865 m²,,"sondage, eau",,"clôture, titre foncier",4865.0,237.01
Kebili,Kebili Nord,3167248,13889 m²,,"sondage, eau",,"clôture, titre foncier",13889.0,228.04
Kebili,Kebili Nord,4150509,16187 m²,,"sondage, eau",Olives,"clôture, titre foncier",16187.0,256.41
Kebili,Kebili Nord,2167614,5016 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",5016.0,432.14
Kebili,Kebili Nord,8219101,19817 m²,près du centre,"sondage, eau, électricité",Olives,"maison, garage, clôture, titre foncier",19817.0,414.75
Kebili,Kebili Nord,5755798,12764 m²,près du centre,"puit, eau, électricité",Palmiers,"maison, garage, clôture, titre foncier",12764.0,450.94
Kebili,Kebili Nord,4285259,10777 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",10777.0,397.63
Kebili,Kebili Nord,1513139,4169 m²,près du centre,"puit, électricité",Olives,"clôture, titre foncier",4169.0,362.95
Kebili,Kebili Nord,5673702,12122 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",12122.0,468.05
Kebili,Kebili Nord,7347312,15540 m²,près du centre,"puit, eau, électricité",Olives,"maison, garage, clôture, titre foncier",15540.0,472.8
Kebili,Kebili Nord,1849673,11580 m²,,"puit, eau",,titre foncier,11580.0,159.73
Kebili,Kebili Nord,3094772,16016 m²,,"sondage, eau",,titre foncier,16016.0,193.23
Kebili,Kebili Nord,507413,5237 m²,,eau,,,5237.0,96.89
